change_class,review_lane,severity,required_gates,description
source_code,general_source_surface,MEDIUM,SOURCE_RESCAN_REQUIRED,General source/header changes needing dictionary impact review.
source_code,command_or_cli_surface,HIGH,SOURCE_CONTRACT_RESCAN_REQUIRED;HELP_COVERAGE_CHECK_REQUIRED;RUNTIME_PROOF_REVIEW_REQUIRED,CLI command/dispatcher/help-facing source changes.
source_code,physical_engine_surface,HIGH,PHYSICAL_DICTIONARY_RESCAN_REQUIRED;RUNTIME_PROOF_REVIEW_REQUIRED,xbase/DBF/memo/CDX/index physical-engine changes.
source_code,relation_tuple_surface,HIGH,RELATION_TUPLE_RESCAN_REQUIRED;TRANSCRIPT_PROOF_REVIEW_REQUIRED,workspace/relation/tuple changes.
source_code,metafact_metadata_surface,HIGH,METAFACT_RESCAN_REQUIRED;CATALOG_STAGING_REVIEW_REQUIRED,MetaFact/metadata harvest or staging bridge changes.
build_contract,build_profile_surface,HIGH,BUILD_PROFILE_REVIEW_REQUIRED;OPTIONAL_OVERLAY_BOUNDARY_REVIEW_REQUIRED,CMake/profile/build-option changes affecting engine/professional/educational boundaries.
script,runtime_or_maintenance_script_surface,HIGH,SCRIPT_BOUNDARY_REVIEW_REQUIRED;DD_SCRIPT_RESCAN_REQUIRED,DotScript/PowerShell/runtime maintenance script changes.
documentation,documentation_surface,LOW,DOC_REVIEW_REQUIRED,Ordinary documentation changes.
manualgen_artifact,manualgen_lane,MEDIUM,MANUALGEN_REVIEW_REQUIRED,Developer manual/manualgen changes.
datadict_generated_or_spec,datadict_lane,LOW,DATADICT_SELF_REVIEW_REQUIRED,Data Dictionary artifacts or specs changed.
