progress_id,recorded_at,phase,status,mutation_scope,evidence,validation,next_gate
DFPROG-001,2026-07-16,lane foundation,PASS,documentation only,FULL_STACK_DOCUMENTATION_FLUSH_PLAN_V1.md; FULL_STACK_DOCUMENTATION_FLUSH_RECORD_TEMPLATE_V1.md,authority and protected boundaries recorded,inventory comments and HELP paths
DFPROG-002,2026-07-16/2026-07-17,comments escrow and reharvest,PASS,candidate reports then authorized COMMENTS promotion,comments_audit/; comments_reharvest/,235 complete semantic rows; 0 incomplete contracts,rebuild and prove HELP
DFPROG-003,2026-07-16,MAINT documentation reconciliation,PASS,targeted source contracts and evidence,maint_command_review_phase/; SESSION_CLOSEOUT_MAINT_DOCUMENTATION_RECONCILIATION_2026-07-16.md,build runtime comments and SelfDoc checks pass,COMMENTS promotion and HELP rebuild
DFPROG-004,2026-07-16/2026-07-17,COMMENTS SYSCMD HELP promotions,PASS,authorized local data replacements with rollback,metacollect_phase/candidate_v8_contracts_resolved/; help_refresh_execution/,SYSCMD 203/203; HELP 12784 lines 492 topics 449 commands 2506 args,bind refreshed evidence to manualgen
DFPROG-005,2026-07-17,metacollect backlog separation,ROUTED,documentation mission only,docs/maintenance/lanes/metadata/missions/METACOLLECT-238-20260717-001/README.md,175 command plus 63 function findings,execute as independent mission
DFPROG-006,2026-07-17,manualgen harvest and reference,PASS,generated candidates only,MANRUN-20260717T222026Z-28C704E0,14/14 inputs; 631 topics; 12784/12784 lines; 0 unresolved,curate and disposition topics
DFPROG-007,2026-07-17,curation disposition section factory,PASS,generated candidates only,MANRUN-20260717T225704Z-573F2F89; MANRUN-20260717T230554Z-DB3F2DC8,631/631 topics; 49/49 dispositions; 462 approved,reconcile manual structure
DFPROG-008,2026-07-17,structural reconciliation and packets,PASS,generated candidates only,MANRUN-20260717T233746Z-BD33A215; MANRUN-20260717T234222Z-ECBB99AD,462/462 mapped and copied; 13/13 review; 0 missing duplicate unused,risk-ordered prose review
DFPROG-009,2026-07-18 UTC,smallest packet prose review,PASS HUMAN APPROVED FOR GENERATED MERGE,generated prose and decision,MANRUN-20260718T012220Z-6CF3FC93; MANUALGEN_PROSE_REVIEW_DECISION_2026-07-17.md,8/8 topics; 3 candidates; 0 findings,generated selective merge
DFPROG-010,2026-07-18 UTC,selective merge reconciliation,PASS WITH RECONCILED PREFLIGHT,generated candidates only,MANRUN-20260718T020511Z-ADA1E01D; MANRUN-20260718T020630Z-9367A5BA; MANRUN-20260718T020658Z-BFE7F605,2 sections; 1 appendix; 1 reader; 3 diffs; 0 deletions or canonical changes,human contextual review
DFPROG-011,2026-07-18 UTC,living progress record,ACTIVE,documentation workflow only,DOCUMENTATION_FLUSH_PROGRESS_LOG_V1.md; documentation_flush_progress_ledger_v1.csv,11 milestone identifiers aligned,append contextual review outcome
DFPROG-012,2026-07-18 UTC,Pinocchio historical engine baseline,OPEN,documentation and benchmark baseline only,Pinocchio Phase 1 scripts proofs and timing outputs,pending evidence inventory,recover exact before after and machine evidence
DFPROG-013,2026-07-18 UTC,Pinocchio historical engine baseline established,PASS,documentation runner metadata validator and tests only,PINOCCHIO_HISTORICAL_ENGINE_BENCHMARKS_V1.csv; PINOCCHIO_MACHINE_PROFILE_CURRENT_V1.json; SESSION_CLOSEOUT_PINOCCHIO_HISTORICAL_BASELINE_2026-07-18.md,8 rows 0 findings; 13 tests pass; PowerShell parse 0 errors,resume human contextual review and require transcript plus machine profile on future runs
DFPROG-014,2026-07-18 UTC,documentation to website ascent,OPEN,documentation plan and review state only,DOCUMENTATION_TO_X64BASE_COM_ASCENT_V1.md; MANRUN-20260718T020658Z-BFE7F605; AI_PORTAL.md,nine distinct gates preserve manual staging website and live proof boundaries,complete full reader and three diff contextual review
DFPROG-015,2026-07-18 UTC,selective merge contextual review,PASS APPROVED FOR CANONICAL PREFLIGHT,review decision only,MANUALGEN_SELECTIVE_MERGE_CONTEXT_DECISION_2026-07-18.md; MANRUN-20260718T020658Z-BFE7F605,8 topic claims reviewed; 55 section additions; 106 reader additions; 0 deletions or canonical changes,canonical acceptance preflight
DFPROG-016,2026-07-18 UTC,canonical acceptance preflight,HOLD REPAIR AUTHORIZATION REQUIRED,report only pointer audit and preflight,publication_ascent_preflight_v1/; MANUAL_CANONICAL_ACCEPTANCE_PREFLIGHT_V1.md,17 PASS 5 REVIEW 0 FAIL; 4 stale evidence reviews and 1 intentional role split,authorize or decline accepted pointer evidence reconciliation
