term_id,canonical_term,short_definition,student_note,user_note,developer_note,aliases,legacy_terms,related_topics,evidence_class,review_status,owner_lane,do_not_confuse_with
TERM.PROJECT.DOTTALKPP,DotTalk++,Interactive command-driven xBase/FoxPro-inspired runtime and documentation environment.,Program used to learn database concepts.,Command environment used to work with structured data.,"Runtime application and command surface layered over engine, HELP, metadata, and SelfDoc.",DotTalk,,PROJECT.IDENTITY,Design-intended,GREEN_TENTATIVE,MDO,x64base
TERM.PROJECT.SELFDOC,SelfDoc,Provenance and verification authority for documentation and metadata evidence.,The system that helps DotTalk++ check itself.,Verification system behind trustworthy manuals and HELP.,"Evidence/provenance subsystem that harvests, stages, validates, reports, and protects documentation truth.",Self Doc,,SELFDOC.EVIDENCE_PIPELINE,Design-intended,GREEN_TENTATIVE,SelfDoc,Master Document Organizer
TERM.SELFDOC.MEMO_LINES,MEMO_LINES,Import-safe long-text side table for SelfDoc metadata/diagram lanes.,Usually not needed.,Not normally user-facing.,v1 long-text staging table for metadata/diagram work.,memo lines,,SELFDOC.MEMO_LINES,Metadata-staged; Design-intended,GREEN_TENTATIVE,SelfDoc,Native Memo; memo64; DTX
TERM.PROJECT.CONTRACT,Contract,"A reviewed, canonical specification of a schema, interface, or behavior together with its declared proof/truth state; the authority a component is measured against.",A written and reviewed promise for how something must be shaped or behave.,The reviewed definition a feature is checked against.,"Reviewed spec (e.g. a .dtschema field contract, or an interface/behavior contract) carrying identity invariants and an explicit proof state; the registry and tests are DERIVED from it, so drift fails. Distinct from the physical DBF/code that implements it.",schema contract; .dtschema,,SELFDOC.EVIDENCE_PIPELINE,Design-intended,GREEN_TENTATIVE,SelfDoc,the physical schema/DBF that implements it; AIF claim
TERM.PROJECT.IDENTITY_SYSTEM,Identity system,"The single security and user system: SYSUSER (authentication credential), SYSMEMBER (the principal/actor), and the RBAC catalogs, enforced by the acting-member and agent_permitted() gate.",The one place the program checks who you are and what you may do.,The single sign-in and permission system every feature uses.,"Canonical principal and RBAC system: SYSUSER credential plus SYSMEMBER actor plus SYSROLE/PERM/ROLEPERM/MEMROLE/OVERRIDE/ASSIGN/GRANT, gated by principal_key()/act_as/agent_permitted(). Every system references members by id or MKEY; there is no second user or credential store.",security user system; identity catalog,,PROJECT.IDENTITY,Design-intended,GREEN_TENTATIVE,identity,AIF lane ownership; free-text stewardship (selfdoc OWNER)
TERM.CONTRACT.AUDIENCE,Contract audience,WHO a command surface is for: user | developer | sample | internal. One of three orthogonal axes that the single status: field in @dottalk.usage currently conflates.,Tells you whether a command is meant for you or for someone working on the engine.,A developer-audience command is not broken; it is simply not aimed at you.,"PROPOSED 2026-09-02, awaiting owner ruling. Measured basis: 242 usage contracts declare 24 distinct status values. Eight of them answer WHO rather than HOW FINISHED -- developer(10), implementation-helper(3), sample-extension(2), dev-tool, dev-canary, backend-helper, supplemental, documentation-example.",,developer; dev-tool; dev-canary; sample-extension; backend-helper; supplemental; documentation-example; implementation-helper,TERM.CONTRACT.COMPLETENESS; TERM.CONTRACT.LIFECYCLE,Design-intended,GREEN_TENTATIVE,SelfDoc,completeness (how finished); lifecycle (whether it is going away)
TERM.CONTRACT.COMPLETENESS,Contract completeness,"HOW FINISHED a command surface is: complete | in-progress | template | reference-only. Distinct from whether it runs, which is measured at runtime and never declared by hand.",in-progress means it works today and is still growing; it is not a promise that everything is there.,"in-progress is NOT unsupported. It runs, it is actively developed, and it makes no claim of completeness.","PROPOSED 2026-09-02, awaiting owner ruling. This axis is the one the current vocabulary cannot express, which is why supported-stub-mixed and supported-conditional exist -- someone needed two axes and had one field. Owner 2026-09-02 on SQL/SQLSEL: 'we are actively developing sql sqlsel, so it isn't unsupported, it's just not a claim of completeness' -> in-progress. Owner on TVISION: '.tvision is a working template not a stub' -> template, NOT stub.",,experimental; stub; supported-stub; supported-stub-mixed; supported-conditional; implementation-present; placeholder-shim,TERM.CONTRACT.AUDIENCE; TERM.CONTRACT.SUPPORTED,Design-intended,GREEN_TENTATIVE,SelfDoc,"dispatchability (whether the command is registered and runs -- MEASURED, not declared); audience"
TERM.CONTRACT.LIFECYCLE,Contract lifecycle,WHETHER A SURFACE IS GOING AWAY: current | deprecated | superseded.,"A deprecated command still runs, but do not build on it.",Deprecated means it works now and will not always.,"PROPOSED 2026-09-02, awaiting owner ruling. LMDB_UTIL declares deprecated in its own contract and the manual published it as supported -- the most misleading row measured on 2026-09-02, because a reader cannot tell a command being retired from one being recommended.",,deprecated; deprecated-compat; compatibility-alias; compatibility-shim,TERM.CONTRACT.COMPLETENESS,Design-intended,GREEN_TENTATIVE,SelfDoc,"completeness (an in-progress command is current, not deprecated)"
TERM.CONTRACT.SUPPORTED,Supported,"OVERLOADED, AND THAT IS THE PROBLEM. In the catalog it means the command is registered and dispatchable. In an @dottalk.usage contract it has been used to mean mature and complete. Two concepts, one word.","If a page says supported, ask supported in which sense.",The manual currently prints one word for two different questions.,"PROPOSED 2026-09-02, awaiting owner ruling. MEASURED: of 109 published commands that also declare a contract status, 33 disagree with the manual, and EVERY disagreement runs the same direction -- the manual says supported while the contract says developer, experimental, stub, deprecated, sample-extension or implementation-shim. That is the NORTH_STAR missing-plank signature: one fact wrong in two places at once. AREA51 is the canary: its own contract prose already said 'It read supported until 2026-08-30 while THIS PARAGRAPH already called it a developer probe.' The author caught it on one command; the systemic count is 33.",,supported (catalog sense); supported (maturity sense),TERM.CONTRACT.COMPLETENESS; TERM.CONTRACT.AUDIENCE; TERM.CONTRACT.LIFECYCLE,Metadata-staged; Design-intended,GREEN_TENTATIVE,SelfDoc,dispatchable (registered and runs); complete (no further work planned)
TERM.RUNTIME.SQL_SURFACE,SQL surface,"The WORKING relational surface: SQLSEL (SELECT <list> FROM <table> [WHERE] [LIMIT], sqlsel_statement.cpp), SQL (COUNT with FOR <expr>, cmd_sql.cpp) and REL (relations dispatcher, cmd_rel.cpp). Distinct from the legacy reference catalogue.",SQLSEL is where real SELECT queries live.,"SQLHELP is a reference catalogue, not the query engine.","PROPOSED 2026-09-02, awaiting owner ruling on which name is canonical. Owner 2026-09-02: 'I have a generic sql help system for reference only before i had workspaces, now we really do have sql.' MEASURED: cmd_sql_help.cpp declares category: reference, status: experimental, and predates workspaces; sqlsel_statement.cpp carries lane AIF-074 and implements the P3 slice-1 grammar. The manual publishes SQL, SQLHELP, SQLSEL, SQLITE, SQLVER and SQLERASE as six peer entries, all marked supported, with nothing telling a reader which is the working system.",SQLSEL; REL,"SQLHELP (generic reference catalogue, pre-workspace)",TERM.CONTRACT.COMPLETENESS; TERM.PROJECT.CONTRACT,Metadata-staged; Design-intended,GREEN_TENTATIVE,MDO,"SQLHELP (reference catalogue only); SQLITE (embedded engine bridge); the SQL command (COUNT/FOR, not a SELECT engine)"
