SUB_ID,PARENT,SUB_NAME,QUAL_NAME,DISP_STYL,IMPL_STAT,VIS_TIER,OWNER,REG_RING,LIFE_PH,SRC_AUTH,SRC_FILE,HANDLER,PUB_SURF,DISP_REACH,OUT_ROUTE,MSG_CAT,ACTIVE,VER_AT,NOTES
SUB_SET_ALTERNATE,SET,ALTERNATE,SET ALTERNATE,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,summary=Echo session output to a secondary transcript file. ; syntax=SET ALTERNATE ON|OFF | SET ALTERNATE TO <file>
SUB_SET_CASE,SET,CASE,SET CASE,routed,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SETCASE,F,F,F,F,T,,"summary=Fox-style spelling routed to the SETCASE handler. Direct SETCASE remains independently registered in the command registry, which is why it resolves through two paths. ; syntax=SET CASE ON|OFF ; aliases=SETCASE"
SUB_SET_CDX,SET,CDX,SET CDX,routed,implemented,developer,,index_order,,subusage_contract,cmd_set.cpp,cmd_SETCDX,F,F,F,F,T,,"summary=LMDB-index-profile command, routed to the SETCDX handler. ; syntax=SET CDX [TO] <container.cdx> ; build-gate=DOTTALK_WITH_INDEX"
SUB_SET_CNX,SET,CNX,SET CNX,routed,implemented,developer,,index_order,,subusage_contract,cmd_set.cpp,cmd_SETCNX,F,F,F,F,T,,"summary=Available in BOTH legacy and LMDB index profiles, unlike CDX and LMDB which are LMDB-profile only. ; syntax=SET CNX [TO] <container.cnx> ; build-gate=DOTTALK_HAS_XINDEX"
SUB_SET_CONSOLE,SET,CONSOLE,SET CONSOLE,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,summary=Fox-style alias for PRN TO CONSOLE / PRN TO NULL. ; syntax=SET CONSOLE ON|OFF
SUB_SET_DELETED,SET,DELETED,SET DELETED,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,"summary=Hide (ON) or show (OFF) records flagged deleted. Note the sense: ON means HIDE, which the status line spells out because the polarity is a routine source of confusion. ; syntax=SET DELETED ON|OFF"
SUB_SET_DEVDIAG,SET,DEVDIAG,SET DEVDIAG,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,"summary=Control PASSIVE startup and shutdown diagnostics in dev builds, including the relations BOOT trace. Does NOT trace ongoing relation refresh -- no such diagnostic exists. Explicit command traces stay under their own surfaces. Bare form reports current state. ; syntax=SET DEVDIAG | SET DEVDIAG ON|OFF | SET DEVDIAG STATUS|CHECK"
SUB_SET_DEVICE,SET,DEVICE,SET DEVICE,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,"summary=Fox-style alias for PRN. TO is required. PRINTER with no name stages the default printer. CONSOLE is accepted as a synonym for SCREEN, and OFF for NULL; neither synonym appears in SetUsageText. ; syntax=SET DEVICE TO SCREEN|CONSOLE | SET DEVICE TO FILE <path> | SET DEVICE TO PRINTER [name] | SET DEVICE TO NULL|OFF"
SUB_SET_ECHO,SET,ECHO,SET ECHO,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,summary=Echo each input line before executing it. Primarily for scripts. ; syntax=SET ECHO ON|OFF
SUB_SET_EDITOR,SET,EDITOR,SET EDITOR,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,"summary=Choose the external editor. TO is REQUIRED here, unlike LANGUAGE or ERRORSTOP where it is optional. ; syntax=SET EDITOR TO <command> | SET EDITOR TO DEFAULT | SET EDITOR TO OFF"
SUB_SET_ERRORSTOP,SET,ERRORSTOP,SET ERRORSTOP,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,"summary=Compatibility form of the native STOP_ON_ERROR command. Sets the severity at which a running DotScript aborts, compared against the severity carried by the recorded canonical error code. Strips an inline && comment before parsing. Bare form reports the threshold. AIF-067: absent from SetUsageText, so previously undiscoverable. ; syntax=SET ERRORSTOP | SET ERRORSTOP [TO] OFF|WARNING|ERROR"
SUB_SET_FILTER,SET,FILTER,SET FILTER,routed,implemented,developer,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SETFILTER,F,F,F,F,T,,summary=Routed to the SETFILTER handler. Developer/transitional surface. ; syntax=SET FILTER TO <expr> ; build-gate=DOTTALK_WITH_DEV
SUB_SET_INDEX,SET,INDEX,SET INDEX,routed,implemented,public,,index_order,,subusage_contract,cmd_set.cpp,cmd_SETINDEX,F,F,F,F,T,,summary=Routed to the SETINDEX handler. Present only when the index subsystem is compiled in. ; syntax=SET INDEX TO <file> ; build-gate=DOTTALK_HAS_XINDEX
SUB_SET_INDEXTXN,SET,INDEXTXN,SET INDEXTXN,inline,implemented,public,,index_order,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,"summary=Transactional in-COMMIT index maintenance. Default OFF keeps the legacy batch behaviour (BUILDLMDB / REBUILD / REINDEX); ON enables incremental maintenance inside COMMIT for the active CDX/LMDB backend. Deliberately message-catalog-free (print_line), so it is NOT localized -- unlike its ladder siblings. AIF-067: absent from SetUsageText, so previously undiscoverable. ; syntax=SET INDEXTXN | SET INDEXTXN ON|OFF | SET INDEXTXN STATUS|CHECK | SET INDEXTXN USAGE|HELP|?"
SUB_SET_LANGUAGE,SET,LANGUAGE,SET LANGUAGE,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,summary=Select the active message-rendering locale. Does NOT localize command keywords; it selects message text templates (AIF-066). Bare form reports current locale rather than erroring. ; syntax=SET LANGUAGE | SET LANGUAGE [TO] <en-US|es|fr|de|it|DEFAULT> | SET LANGUAGE CHECK|VALIDATE|CATALOG | SET LANGUAGE REPORT|EXPORT [locale] | SET LANGUAGE STATUS ; aliases=LOCALE
SUB_SET_LMDB,SET,LMDB,SET LMDB,routed,implemented,developer,,index_order,,subusage_contract,cmd_set.cpp,cmd_SETLMDB,F,F,F,F,T,,"summary=LMDB-index-profile command, routed to the SETLMDB handler. See AIF-065 for the mapsize ladder defect on the writer side. ; syntax=SET LMDB <args...> ; build-gate=DOTTALK_WITH_INDEX"
SUB_SET_MESSAGE,SET,MESSAGE,SET MESSAGE,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,"summary=Inspect and exercise the message catalog: provider status, routing proof, and single-symbol emission for a given locale. ; syntax=SET MESSAGE CATALOG CHECK|STATUS | SET MESSAGE PROOF <args> | SET MESSAGE EMIT <symbol> [LOCALE <locale>]"
SUB_SET_NEAR,SET,NEAR,SET NEAR,routed,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SETNEAR,F,F,F,F,T,,"summary=SEEK stays exact while NEAR is OFF. When ON, SEEK/FIND may use nearest greater-or-equal ordered-key behaviour. ; syntax=SET NEAR ON|OFF ; aliases=SETNEAR"
SUB_SET_ORDER,SET,ORDER,SET ORDER,routed,implemented,public,,index_order,,subusage_contract,cmd_set.cpp,cmd_SETORDER,F,F,F,F,T,,summary=Routed to the SETORDER handler. Tag 0 clears the controlling order. Present only when the index subsystem is compiled in. ; syntax=SET ORDER TO <tag|0> ; build-gate=DOTTALK_HAS_XINDEX
SUB_SET_PAGING,SET,PAGING,SET PAGING,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,summary=Page long output at the console. ; syntax=SET PAGING ON|OFF
SUB_SET_PATH,SET,PATH,SET PATH,routed,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SETPATH,F,F,F,F,T,,summary=Routed to the SETPATH handler. Governs the DBF path protocol: SETPATH DBF <dir> then BARE table names. ; syntax=SET PATH <slot> <path>
SUB_SET_POLLING,SET,POLLING,SET POLLING,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,summary=Enable background polling behaviour. ; syntax=SET POLLING ON|OFF
SUB_SET_PRINT,SET,PRINT,SET PRINT,inline,implemented,public,,core_settings,,subusage_contract,cmd_set.cpp,cmd_SET,F,F,F,F,T,,summary=Fox-style alias for PRN TO FILE / PRN OFF. SET PRINT ON with no prior TO <file> reports that a file is required rather than silently doing nothing. ; syntax=SET PRINT ON|OFF | SET PRINT TO <file>
SUB_SET_RELATION,SET,RELATION,SET RELATION,routed,implemented,developer,,relations,,subusage_contract,cmd_set.cpp,cmd_SET_RELATION,F,F,F,F,T,,"summary=Singular form, routed to cmd_SET_RELATION. Distinct handler from the plural SET RELATIONS -- they are not spellings of one another. ; syntax=SET RELATION <args...> ; build-gate=DOTTALK_WITH_DEV"
SUB_SET_RELATIONS,SET,RELATIONS,SET RELATIONS,rewritten,implemented,developer,,relations,,subusage_contract,cmd_set.cpp,cmd_REL,F,F,F,F,T,,"summary=Plural form. REWRITTEN BEFORE DISPATCH: preprocess_for_dispatch turns `SET RELATIONS <args>` into `REL <args>`, so this reaches the native relation engine (the cmd_rel.cpp house-SQL family), NOT the ladder arm below. Contrast the SINGULAR SET RELATION, which is not rewritten and is the VFP-compatibility front-end over relations_api. ; syntax=SET RELATIONS <args...> ; build-gate=DOTTALK_WITH_DEV"
