anchor_id,section,layer,layer_label,evidence_paths,manual_targets,target_manual,target_level,state,next_closure_action
ANCHOR-X64-TRINITY,core,source_contract,Source contract,include/xbase.hpp; include/xbase_vfp.hpp; include/xbase_64.hpp,Trinity Headers; xBase Lineage; x64 Workflow,developer; developer; developer,section; section; section,observed,"Harvest constants, structs, and compatibility rules into data dictionary rows."
ANCHOR-X64-VECTOR-NAMES,core,source_contract,Source contract,include/xbase_64.hpp,Vectored Table Names and Field Names,developer,section,candidate,"Add runtime proof for 128-byte names, self-describing `X64M` readback, and any longer-name compile-time policy if constants change."
ANCHOR-X64-MEMOS,core,source_contract,Source contract,include/memo/dtx_format.hpp; x64 memo code paths,Theoretical Limits; x64 Memo Limits,developer; developer,section; section,candidate,"Add proof scripts for memo object IDs, DTX attachment, readback, and failure boundaries."
ANCHOR-X64-INDEXING,core,runtime_indexing,Runtime/indexing,docs/manuals/developer/proofs/reader_manual_order_cdx_v2.transcript.txt; docs/manuals/developer/proofs/reader_manual_order_cnx_v1.transcript.txt; x64 index source,"Indexes, CNX, CDX, and SET ORDER",developer,section,proven_candidate,Keep CDX/SET ORDER proof promoted; separately harvest x64 theoretical index limits.
ANCHOR-HELP-COMMANDS,core,help_runtime,HELP runtime,dottalkpp/data/help/COMMANDS.dbf,Commands and Functions Reference,command_reference,section,observed,Generate command reference pages from COMMANDS plus META identity and proof state.
ANCHOR-HELP-CMDARGS,core,help_runtime,HELP runtime,dottalkpp/data/help/CMD_ARGS.dbf,Command syntax and arguments,command_reference,section,observed,Join command rows to argument rows; flag arguments without proof examples.
ANCHOR-HELP-TOPICS,core,help_runtime,HELP runtime,dottalkpp/data/help/HELP_TOPIC.dbf,Help topics and reader navigation,developer,section,observed,Map topic rows to manual sections and remove orphan topics or mark as internal.
ANCHOR-HELP-ARTIFACTS,core,help_runtime,HELP runtime,dottalkpp/data/help/HELP_ARTIFACTS.dbf; dottalkpp/data/help/HELP_ARTIFACTS.dtx,Embedded help artifacts,developer,section,observed,"Classify artifacts as reader, developer, legacy, or case-study material."
ANCHOR-META-COLLECT,core,meta_semantic,META semantic layer,include/dt/meta/metafact.hpp; include/dt/meta/metacollect.hpp; x64base/src/tools/metacollect_main.cpp; metacollect_facts.csv; metacollect_compare.csv,Manual evidence and command identity,developer,section,observed,Re-run collection and compare facts before promotion.
ANCHOR-CMDHELPCHK,core,validation,Validation,dottalkpp/tools/help/cmdhelpchk_v2_scan.py; dottalkpp/scripts/maintenance/lanes/cmdhelpchk,HELP/META alignment,developer,section,observed,Use report-only checks as a gate before regenerating command/function sections.
ANCHOR-COMMAND-USAGE-HARVEST,core,source_usage_contracts,Source usage contracts,DOTTALKPP_COMMAND_REFERENCE_GUIDE_V1.md; docs/manuals/command_reference/COMMAND_REFERENCE_USAGE_CONTRACT_HARVEST_V1.md; docs/manuals/command_reference/command_reference_guide_v1.csv; docs/manuals/command_reference/command_reference_usage_contract_harvest_v1.csv; source @dottalk.usage v1 blocks,Commands and Functions Reference,command_reference,section,observed,Join source usage contracts with HELP/META rows and runtime proof state before reader promotion.
ANCHOR-MANUAL-DIAGRAMS,core,visual_manual_assets,Visual/manual assets,docs/manuals/assets/diagrams/MANUAL_DIAGRAM_ASSET_REGISTRY_V1.md; docs/manuals/assets/diagrams/manual_diagram_asset_registry_v1.csv; docs/manuals/assets/diagrams/*.svg,Visual Manual Assets; Evidence Anchors and Manual Generation; section-level diagrams,developer; developer; developer,section; section; section,observed,Embed diagrams into relevant manual sections only after checking that each visual claim matches its section anchor and maturity state.
ANCHOR-SELFDOC-POLICY,core,selfdoc_policy,SelfDoc policy,selfdoc/SELFDOC_ARTIFACT_LIFECYCLE_POLICY_v0.md; selfdoc/SELFDOC_COLLECTION_IMPERFECTION_POLICY_v0.md; selfdoc/SELFDOC_EXTERNAL_TOOL_INTAKE_POLICY_v0.md; selfdoc/SELFDOC_INVENTORY_PROBE_PLAN_v0.md; selfdoc/pipeline_manifest.yaml; selfdoc/tool_manifest.yaml,Developer Appendix; provenance rules,developer; developer,section; section,observed,Add policy excerpts to developer manual only; keep reader copy concise.
ANCHOR-MANUALGEN-LIFECYCLE,core,manualgen,Manualgen,docs/manuals/developer/manualgen/MDO-*.md; docs/manuals/developer/manualgen/PIP-*.md; docs/manuals/developer/manualgen/accepted_catalogs,Developer manual lifecycle,developer,section,observed,"Normalize latest lifecycle state into a compact ""how manuals are made"" section."
ANCHOR-MANUALGEN-CATALOG,core,manualgen_catalog,Manualgen catalog,docs/manuals/developer/manualgen/accepted_catalogs,Published manual references,developer,section,drift,Repair or waive duplicate `EXTRA_MAN_DBF` visibility before calling catalog status clean.
ANCHOR-DATADICT-SCHEMAS,core,data_dictionary,Data dictionary,docs/datadict/reports; include/datadict; include/cli/cmd_ddict.hpp,Data Dictionaries,developer,chapter,observed,"Map schema proof reports to dictionary entities, fields, relations, and evidence rows."
ANCHOR-RUNTIME-PROOFS,core,runtime_proof,Runtime proof,docs/manuals/developer/proofs,Promoted command paths,developer,section,proven,"Keep transcript filenames in manual sections and promote only successful, repeatable paths."
ANCHOR-LABTALK-CASES,core,case_overlay,Case/manual overlay,docs/cases; LabTalk catalog docs,LabTalk Case Catalog,developer,chapter,observed,"Keep cases as optional educational overlays, not runtime dependencies."
ANCHOR-X64BASE-README,core,project_positioning,Project positioning,x64base/README.md; x64base/README_NEW.md; attached README harvest text,What DotTalk++ Is; History; Educational Purpose; Design Philosophy; Working Model; Current Status Snapshot,reader; reader; reader; reader; reader; reader,chapter; chapter; chapter; chapter; chapter; chapter,observed,Keep overview prose curated and reader-facing; verify volatile status claims before release.
ANCHOR-CURSOR-WORKAREAS,core,runtime_state,Runtime state,src/cli/workareas.hpp; src/cli/cmd_recno.cpp; src/browser/browser_builders.cpp; cursor/status messages,Work Areas and Cursor Control,developer,chapter,observed,"Add proof scripts for `RECNO`, `GOTO`, `SKIP`, current-area selection, and cursor restoration."
