feature_id,title,lane,status,commands,command_count,source_file_count,source_keyword_hits,evidence_files,note
table-runtime,DBF table runtime and DbArea object model,xbase engine,runtime-evidenced,"AREA (implemented=T, supported=T); AREA51 (implemented=T, supported=T); DBAREA (implemented=T, supported=T); DBAREAS (implemented=T, supported=T); EDUCATIONAL_USE (implemented=F, supported=T); FIELDS (implemented=T, supported=T); STRUCT (implemented=T, supported=T); USE (implemented=T, supported=T); VUSE (implemented=T, supported=T); WORKAREA (implemented=F, supported=T)",10,26,37,"include/xbase.hpp [DbArea, dbarea, readCurrent, recCount]; include/xbase_64.hpp [DbArea, dbarea]; include/xbase_cli.hpp [DbArea, dbarea]; include/xbase_field_getters.hpp [DbArea, dbarea]; include/xbase_locks.hpp [DbArea, dbarea]; include/xbase_vfp.hpp [DbArea, dbarea]; src/cli/cmd_dbarea.cpp [DbArea, dbarea, recCount]; src/xbase/cursor_hook.cpp [DbArea, dbarea]",
workspace-area-wrapper,Workspaces wrapping active areas,workspace,runtime-evidenced,"AREA (implemented=T, supported=T); AREA51 (implemented=T, supported=T); DBAREA (implemented=T, supported=T); DBAREAS (implemented=T, supported=T); WORKAREA (implemented=F, supported=T); WORKSPACE (implemented=T, supported=T); WSREPORT (implemented=T, supported=T)",7,12,19,"include/workspace/relation_state.hpp [workspace]; include/workspace/schema_area_state.hpp [workspace, SchemaAreaState]; include/workspace/schema_workspace.hpp [workspace, SchemaWorkspace, SchemaAreaState]; include/workspace/workarea_manager.hpp [workspace]; include/workspace/workarea_slot.hpp [workspace]; src/cli/cmd_workspace.cpp [workspace, area state]; src/cli/cmd_wsreport.cpp [workspace]; src/workspace/schema_area_state.cpp [workspace, SchemaAreaState]",
cursor-navigation,Cursor control and record navigation,navigation,runtime-evidenced,"BOTTOM (implemented=T, supported=T); DISPLAY (implemented=T, supported=T); DUMP (implemented=T, supported=T); FIRST (implemented=T, supported=T); GO (implemented=T, supported=T); GOTO (implemented=T, supported=T); LAST (implemented=T, supported=T); LMDBDUMP (implemented=T, supported=T); NEXT (implemented=T, supported=T); PRIOR (implemented=T, supported=T); RECNO (implemented=T, supported=T); SKIP (implemented=T, supported=T); TOP (implemented=T, supported=T)",13,5,18,"src/cli/cmd_goto.cpp [recno, skip, top, bottom]; src/cli/cmd_recno.cpp [recno, gotoRec, skip, cursor]; src/cli/cmd_skip.cpp [recno, gotoRec, skip, top]; src/cli/cursor_status.cpp [recno, cursor]; src/xbase/cursor_hook.cpp [cursor]",
record-locking,Record locking and unlock lifecycle,concurrency,runtime-evidenced,"LOCK (implemented=T, supported=T); UNLOCK (implemented=T, supported=T)",2,6,17,"include/lock_cleanup.hpp [lock]; include/xbase_locks.hpp [lock, unlock, record lock]; src/cli/cmd_lock.cpp [lock, unlock, record lock, xbase_locks]; src/cli/cmd_unlock.cpp [lock, unlock, record lock, xbase_locks]; src/xbase/lock_cleanup.cpp [lock, lock_cleanup]; src/xbase/xbase_locks.cpp [lock, unlock, xbase_locks]",
buffered-editing,"Buffered editing, dirty state, commit and rollback",editing,runtime-evidenced,"CALCWRITE (implemented=T, supported=T); COMMIT (implemented=T, supported=T); EDIT (implemented=T, supported=T); REPLACE (implemented=T, supported=T); ROLLBACK (implemented=T, supported=T)",5,5,15,"src/cli/cmd_commit.cpp [buffer, dirty, commit, rollback]; src/cli/cmd_rollback.cpp [buffer, dirty, commit, rollback]; src/cli/shell_buffer_utils.cpp [buffer]; src/cli/table_buffer.cpp [buffer, dirty, table_buffer]; src/tv/cmd_browsetui.cpp [commit, PendingEdits]",
triggers-rules,"Triggers, rules, and validation hooks",rules,runtime-evidenced,"RULE (implemented=T, supported=T); TUPVALIDATE (implemented=T, supported=T); VALIDATE (implemented=T, supported=T)",3,5,12,"src/cli/cmd_rule.cpp [rule, constraint, validate]; src/cli/cmd_trigger.cpp [trigger]; src/cli/cmd_validate.cpp [rule, validate, validator]; src/cli/cmd_validate_unique.cpp [rule, validate]; src/cli/field_constraints.cpp [rule, constraint, validate]",
dbf-trinity,"DBF flavor trinity: MS-DOS/classic, VFP, and x64 DBF_64",storage formats,runtime-evidenced,"AUTODBF (implemented=T, supported=T); CREATE (implemented=T, supported=T); EDUCATIONAL_USE (implemented=F, supported=T); FIELDS (implemented=T, supported=T); SET INDEX (implemented=F, supported=T); SET ORDER (implemented=F, supported=T); STRUCT (implemented=T, supported=T); USE (implemented=T, supported=T); VUSE (implemented=T, supported=T)",9,5,16,"include/xbase.hpp [ClassicNoMemo, ClassicWithMemo, Fox26Memo, VfpBase]; include/xbase_64.hpp [DBF_VERSION_64]; include/xbase_vfp.hpp [ClassicNoMemo, ClassicWithMemo, Fox26Memo, VfpBase]; src/cli/cmd_setindex.cpp [AreaKind]; src/cli/cmd_setorder.cpp [AreaKind]","xbase.hpp is the neutral runtime contract; xbase_vfp.hpp bridges classic/MS-DOS, FoxPro, and VFP descriptors; xbase_64.hpp owns x64 extensions, vector metadata, and fallback naming."
vfp-field-types,Visual FoxPro DBF field/data type compatibility,storage formats,runtime-evidenced,"AUTODBF (implemented=T, supported=T); CREATE (implemented=T, supported=T); FIELDS (implemented=T, supported=T); STRUCT (implemented=T, supported=T)",4,5,5,"include/cli/field_codecs.hpp [Double]; include/xbase_vfp.hpp [VFP, Visual FoxPro]; src/cli/cli_currency.cpp [Currency]; tests/xbase_vfp_probe.cpp [VFP]",
x64-dbf-types,x64 DBF extensions and newer data types,storage formats,runtime-evidenced,"AUTODBF (implemented=T, supported=T); CREATE (implemented=T, supported=T); STRUCT (implemented=T, supported=T)",3,4,14,"include/xbase_64.hpp [DBF64, x64, LargeHeaderExtension, X64Meta]; include/xbase_64_phase1_contract.txt [DBF64, x64, LargeHeaderExtension, X64Meta]; src/cli/dbf64_header_validate.cpp [DBF64, x64, currency, datetime]",
vectored-names,Vectored table and field names with fallback mangling,storage formats,runtime-evidenced,"CREATE (implemented=T, supported=T); FIELDS (implemented=T, supported=T); STRUCT (implemented=T, supported=T)",3,2,7,"include/xbase_64.hpp [vector, field name, fallback, string_pool]; include/xbase_64_phase1_contract.txt [vector, fallback, string_pool]",
