asset_id,file,manual_anchor,purpose
DIAG-ARCH-LAYERS,docs/manuals/assets/diagrams/dottalkpp_architecture_layers_v1.svg,ANCHOR-X64BASE-README,Four-layer working model.
DIAG-EVIDENCE-PIPELINE,docs/manuals/assets/diagrams/evidence_to_manual_pipeline_v1.svg,ANCHOR-MANUAL-DIAGRAMS,Evidence-to-manual promotion path.
DIAG-TRINITY-HEADERS,docs/manuals/assets/diagrams/trinity_headers_v1.svg,ANCHOR-X64-TRINITY,Trinity header dependency and roles.
DIAG-X64-SELF-DESCRIBING,docs/manuals/assets/diagrams/x64_self_describing_dbf_v1.svg,ANCHOR-X64-VECTOR-NAMES,In-file X64M self-description.
DIAG-COMMAND-HARVEST,docs/manuals/assets/diagrams/command_reference_harvest_v1.svg,ANCHOR-COMMAND-USAGE-HARVEST,Source usage contracts into guide entries.
DIAG-WORKAREAS-CURSOR,docs/manuals/assets/diagrams/workareas_cursor_control_v1.svg,ANCHOR-CURSOR-WORKAREAS,Current area and current record model.
DIAG-LOCKING-LIFECYCLE,docs/manuals/assets/diagrams/locking_lifecycle_v1.svg,ANCHOR-LOCKING,Lock mutate unlock lifecycle.
DIAG-BUFFER-COMMIT-ROLLBACK,docs/manuals/assets/diagrams/table_buffer_commit_rollback_v1.svg,ANCHOR-TABLE-BUFFER; ANCHOR-COMMIT-ROLLBACK,Buffered mutation closure.
DIAG-INDEX-ORDER,docs/manuals/assets/diagrams/index_order_cdx_lmdb_v1.svg,ANCHOR-X64-INDEXING,Logical order versus backend storage.
DIAG-MEMO-DTX,docs/manuals/assets/diagrams/memo_dtx_sidecar_v1.svg,ANCHOR-X64-MEMOS,DBF memo object ID to DTX payload.
DIAG-MANUAL-FAMILY,docs/manuals/assets/diagrams/manual_family_v1.svg,ANCHOR-MANUAL-DIAGRAMS,Full manual family shape.
DIAG-MATURITY-MODEL,docs/manuals/assets/diagrams/maturity_model_v1.svg,ANCHOR-MANUAL-DIAGRAMS,M0-M6 manual maturity ladder.
DIAG-PROOF-LOOP,docs/manuals/assets/diagrams/readback_proof_loop_v1.svg,ANCHOR-RUNTIME-PROOFS,Run capture readback promote loop.
